"","jahr","schulgemeinde","schulgemeinde_code","Anzahl normal eingeschult","Anzahl verzögert eingeschult","Anzahl vorzeitig eingeschult","Anzahl irregulär eingeschult","Total Anzahl SuS","Anteil normal eingeschult","Anteil verzögert eingeschult","Anteil vorzeitig eingeschult","Anteil irregulär eingeschult"
"1",2014,"Zürich","A001",1,0,0,0,1,1,0,0,0
"2",2015,"Zürich","A001",0,1,0,1,1,0,1,0,1
"3",2016,"Zürich","A001",1,1,0,1,2,0.5,0.5,0,0.5
"5",2010,"Zürich-Uto","A012",344,2,41,43,387,0.888888888888889,0.00516795865633075,0.10594315245478,0.111111111111111
"6",2011,"Zürich-Uto","A012",359,2,39,41,400,0.8975,0.005,0.0975,0.1025
"7",2012,"Zürich-Uto","A012",420,4,27,31,451,0.931263858093126,0.00886917960088692,0.0598669623059867,0.0687361419068736
"8",2013,"Zürich-Uto","A012",428,8,33,41,469,0.912579957356077,0.0170575692963753,0.070362473347548,0.0874200426439232
"9",2014,"Zürich-Uto","A012",496,3,20,23,519,0.955684007707129,0.00578034682080925,0.0385356454720617,0.0443159922928709
"10",2015,"Zürich-Uto","A012",480,14,12,26,506,0.948616600790514,0.0276679841897233,0.0237154150197628,0.0513833992094862
"11",2016,"Zürich-Uto","A012",536,10,12,22,558,0.960573476702509,0.017921146953405,0.021505376344086,0.039426523297491
"12",2017,"Zürich-Uto","A012",508,19,8,27,535,0.949532710280374,0.0355140186915888,0.0149532710280374,0.0504672897196262
"13",2018,"Zürich-Uto","A012",602,22,3,25,627,0.960127591706539,0.0350877192982456,0.00478468899521531,0.0398724082934609
"14",2019,"Zürich-Uto","A012",596,26,0,26,622,0.958199356913183,0.0418006430868167,0,0.0418006430868167
"15",2020,"Zürich-Uto","A012",550,42,0,42,592,0.929054054054054,0.0709459459459459,0,0.0709459459459459
"16",2021,"Zürich-Uto","A012",555,38,0,38,593,0.935919055649241,0.0640809443507589,0,0.0640809443507589
"17",2022,"Zürich-Uto","A012",592,29,0,29,621,0.953301127214171,0.0466988727858293,0,0.0466988727858293
"19",2010,"Zürich-Limmattal","A022",245,2,31,33,278,0.881294964028777,0.00719424460431655,0.111510791366906,0.118705035971223
"20",2011,"Zürich-Limmattal","A022",295,3,31,34,329,0.896656534954407,0.00911854103343465,0.0942249240121581,0.103343465045593
