"","Jahr","TagezumStichtag"
"2",2010,301
"3",2010,255
"4",2010,242
"5",2010,212
"6",2010,129
"7",2010,204
"8",2010,49
"10",2010,26
"17",2010,57
"18",2010,43
"19",2010,288
"29",2010,33
"51",2012,1216
"52",2010,209
"53",2010,197
"54",2010,150
"55",2010,201
"56",2010,166
"57",2010,212
"58",2010,245
"59",2010,147
"60",2010,71
"61",2010,233
"62",2010,85
"63",2010,91
"71",2010,69
"72",2010,78
"73",2010,37
"74",2010,101
"75",2010,110
"76",2010,36
"77",2010,32
"98",2010,2
"121",2010,51
"161",2010,50
"217",2010,42
"219",2010,44
"220",2010,31
"251",2010,6
"266",2010,38
"274",2010,53
"343",2010,65
"389",2010,283
"390",2010,304
"391",2010,162
"392",2010,210
"393",2010,139
"394",2010,156
"396",2010,136
"397",2010,194
"404",2010,12
"406",2010,73
"407",2010,57
"408",2010,33
"409",2010,44
"414",2010,284
"415",2010,5
"419",2010,39
"425",2010,20
"434",2010,52
"460",2011,146
"488",2010,149
"489",2010,164
"490",2010,163
"491",2010,184
"492",2010,6
"495",2010,43
"496",2010,78
"497",2010,48
"503",2010,56
"514",2010,237
"515",2010,17
"535",2010,214
"536",2010,148
"537",2010,168
"539",2010,79
"540",2010,54
"541",2010,99
"542",2010,114
"543",2010,95
"545",2010,209
"546",2010,94
"547",2010,60
"550",2010,76
"567",2010,105
"580",2010,37
"584",2012,81
"586",2010,491
"587",2010,643
"588",2010,137
"589",2010,181
"590",2010,172
"591",2010,196
"592",2010,164
"593",2010,124
"594",2010,163
"595",2010,206
"596",2010,378
"597",2010,125
"598",2010,38
"599",2010,57
"604",2010,13
"606",2010,45
"607",2010,34
"608",2010,80
"609",2010,115
"610",2010,39
"611",2010,43
"614",2010,3
"624",2010,23
"626",2010,10
"677",2011,131
"708",2010,44
"751",2010,32
"752",2010,100
"811",2010,12
"832",2010,120
"858",2010,75
"859",2010,105
"860",2010,81
"861",2010,69
"862",2010,87
"863",2010,86
"878",2010,61
"888",2010,18
"931",2010,19
"953",2010,6
"971",2010,29
"983",2010,76
"984",2010,31
"1007",2010,349
"1029",2010,116
"1031",2010,7
"1072",2010,34
"1073",2010,36
"1209",2010,36
"1238",2010,58
"1240",2010,48
"1269",2010,105
"1270",2010,93
"1301",2010,71
"1302",2010,46
"1304",2010,61
"1388",2010,22
"1396",2010,38
"1397",2010,38
"1407",2010,30
"1419",2010,28
"1433",2010,29
"1456",2010,18
"1464",2010,12
"1483",2010,10
"1527",2010,19
"1585",2011,121
"1586",2010,3
"1589",2010,20
"1644",2010,17
"1657",2010,13
"1677",2011,121
"1710",2010,18
"1711",2010,27
"1728",2011,207
"1737",2010,64
"1757",2011,248
"1806",2010,13
"1838",2010,31
"1848",2010,29
"1865",2011,193
"1877",2010,9
"1878",2010,1
"1883",2010,54
"1884",2010,36
"1896",2011,140
"1897",2010,60
"2013",2010,16
"2022",2010,47
"2046",2010,54
"2047",2011,126
"2049",2010,9
"2056",2011,269
"2329",2010,3
"2332",2010,55
"2333",2010,61
"2334",2010,61
"2342",2010,8
"2385",2010,3
"2507",2010,14
"2542",2011,447
"2605",2010,63
"2611",2010,16
"2663",2010,5
"2671",2011,142
"2702",2010,7
"2746",2010,28
"2779",2011,158
"2805",2011,12
"2832",2011,5
"2835",2011,1
"2848",2010,1
"2859",2010,24
"2863",2010,17
"2885",2010,32
"2942",2011,5
"3015",2010,119
"3090",2010,67
"3094",2010,15
"3102",2011,17
"3105",2011,4
"3117",2010,25
"3145",2011,23
"3147",2011,20
"3158",2011,5
"3161",2010,12
"3211",2011,5
"3213",2011,18
"3240",2010,33
"3309",2010,78
"3363",2011,8
"3408",2010,28
"3446",2010,82
"3447",2011,133
"3551",2010,14
"3581",2011,28
"3594",2010,23
"3636",2011,17
"3639",2011,7
"3690",2010,173
"3706",2011,9
"3708",2011,6
"3718",2010,18
"3782",2011,116
"3786",2011,27
"3824",2011,5
